 3.75386267470188e-001    1.11033631816764e-004
 3.75383061931017e-001    1.36887450953708e-004
 3.75379856391845e-001    1.68761247578815e-004
 3.75376650852673e-001    2.08056753821717e-004
 3.75373445313502e-001    2.56502090568005e-004
 3.75370239774330e-001    3.16227766016838e-004
 3.75398377284837e-001    3.89860370254907e-004
 3.75489200894702e-001    4.80638086306439e-004
 3.75548681454887e-001    5.92553097554568e-004
 3.75608162015073e-001    7.30527154266445e-004
 3.75730328674616e-001    9.00628020211279e-004
 3.75821196805858e-001    1.10711292046250e-003
 3.75912020415723e-001    1.36490055418638e-003
 3.76190946845037e-001    1.67782814300146e-003
 3.73413258110014e-001    1.00000000000000e-004
 3.76469339017823e-001    2.13572560571114e-003
 3.76190412588508e-001    1.73739669046822e-003
 3.77057644498582e-001    3.42051035167132e-003
 3.77305227878218e-001    4.20472283776235e-003
 3.77772257126982e-001    5.15372465596163e-003
 3.78396001624140e-001    6.31691525323032e-003
 3.79113864313089e-001    7.69774705712372e-003
 3.79925800672451e-001    9.35318653906183e-003
 3.76747375019589e-001    2.78255940220712e-003
 3.76468448590275e-001    2.26359111090779e-003
 3.84146293684375e-001    1.89573565240638e-002
 3.82926586029548e-001    1.59228279334109e-002
 3.81738265945777e-001    1.33352143216332e-002
 3.80675407103475e-001    1.11033631816764e-002
 3.79863470744112e-001    9.13815638114049e-003
 3.94444266358935e-001    4.69588196178635e-002
 3.96228861250018e-001    5.33669923120631e-002
 3.98139050946703e-001    5.97743898206590e-002
 4.00017897593709e-001    6.69510782533733e-002
 4.01865401191036e-001    7.49894209332456e-002
 4.03775635409098e-001    8.37490323791788e-002
 4.05717212676839e-001    9.35318653906183e-002
 4.07658834465957e-001    1.04154195249195e-001
 4.09600456255075e-001    1.15982893559349e-001
 4.11510690473138e-001    1.29531005670514e-001
 4.13389537120144e-001    1.45082877849594e-001
 4.15299726816828e-001    1.62501953382979e-001
 4.17178573463834e-001    1.82012414177914e-001
